Resources,Site Design Bible,Fonts,Logos,About Us Photo,All Previews,,All Stills,
,,,,,,,,
Client,Main Page Navigation,Title,Year,Credits,15 Second Preview,Full Video,Still,Notes
"K-Swiss
Method & Madness",C,Hideout,2022,"Director: coool
Executive Producer: Casey Lock
Producer: Brendan Brown
Prod. Company: Method and Madness

DP: Kevin Horn
1st AC: Javier Castillo & Carlos Cabrera-Mayol
Steadicam Op: Kevin Veselka

Gaffer: Stephen Wester
Key Grip: William Westgaard
Grip: Brandon Hinsley

1st AD: Phil Evans
PA: Alex Leeds

Production Designer: Mitch Ransdell
Editor: Max Mooney
Colorist: Kevin Horn
Original Music, Sound Design and Mix: Ethan Houser

Thank you to:
Jorie and Mike Landfear
Chinatown Square Association
The Grove
Atlas Lighting

Thief #1: Kenyon Ellsworth
Guard #1: Nic Gohl
Thief #2: Jimmy Sisto
Thief #3: Ryan Nolen
Guard #2: Buddy Heeley",Link,Link,Link,
"Kum & Go
Brand Opus",,"Sad Food, Fresh Food",2022,,N/A,Link,Link,not yet released
"Walker
Majestic Casual",,Majestic Sessions,2022,"Director: John TerEick
DP: David Hughes Jr.
Mix and Mastering: Ryan Deffet",N/A,Link,Link,
Portraits of Men Crying,O,Portraits of Men Crying,2021,"Directed by coool (John TerEick and Jake Nokovic)

Director of Photography
David Hughes Jr.

EditorMax Mooney

Art Direction and Design
Brian Hedrick

Colorist
Sam Howells

Sound Design and Mix
Andrew TerEick

Billy Hoffman

Jamaal Harris

Ryan Nolen

John TerEick

Travis Delgado

James Sisto

Steve Pavlik

Original Score
Andrew TerEick

Additional Photography
Garret Justus

Thanks
Lainey Muhlberg",Link,Link,Link,
"Ratboys
Topshelf Records",,Happy Birthday Ratboy,2021,"Directed by John TerEick 

Director of Photography - Ryan Zeller 
Camera Assistant - Lucinda Harstrick 
Gaffer - Stephen Wester 

Editor - Max Mooney 
Colorist - David Hughes Jr. 

Location Sound - Andrew TerEick 
Film Sound Design and Mix - Andrew TerEick 
Music Recording Engineer - Adam Beck 
Recording Assist / Monitors Engineer - Corey Willis 

Ratboys is Julia Steiner, Dave Sagan, Sean Neumann, and Marcus Nuccio 

Rhodes, Pocket Piano, Tambourine - Evan Loritsch 

Special Thanks To: 
Schubas Tavern 
Pogi Studios 
Atlas Lighting 
Tom Conrad
Emily Egerton 
Dan Apodaca  
Lainey Muhlberg 
Delia Nuccio ",N/A,Link,Link,
"Disq
Saddle Creek Records",,Gentle,2021,"Directed by: coool (Jake Nokovic and John TerEick) 

Starring: Greta White

Director of Photography: David Hughes Jr
First AC: Nichole Harmon

Editor: Jake Nokovic
Colorist: Sam Howells
VFX: John TerEick",N/A,Link,Link,
"Sam Evian
Fat Possum Records",O,Time to Melt,2021,"Directed and Edited by: John TerEick
Produced by: Lainey Muhlberg

Starring
Audrey Harden
Jan Cohen-Owens

Director of Photography: David Hughes 
Jr.1st AC: Kenna Hynes
Gaffer: Adam MuroGrip: Evan Pritchard 
Choreographer: Kathy Patino
Production Assistant: Andrew TerEick
Colorist: Kevin Horn
VFX: John TerEickPost
Sound Mix: Andrew TerEick

Thanks: Hannah Cohen, Mike Farino",Link,Link,Link,
"Tasha
Father Daughter Records",,Perfect Wife,2021,"Directed by: coool (John TerEick and Jake Nokovic)

Director of Photography: Cain Camacho
1st AC: Bryan Wright
Gaffer: Kevin Veselka

Editor: Max Mooney
Colorist: Cody L. Sandberg

Choreography: Natalia White

Thanks: Pogi Studios, Atlas Lighting, Mitch McAndrew, Liam Brekke, Kai Lee Liu, Ryan Stephens, Kenyon Ellsworth, Lainey Muhlberg, Ashley Guerrero, Jessi Frick",N/A,Link,Link,
